iter	Passed	Remaining
0	1	115
1	2	117
2	3	101
3	3	92
4	8	161
5	9	146
6	10	133
7	10	123
8	11	115
9	12	108
10	13	106
11	14	103
12	15	102
13	17	109
14	19	112
15	21	113
16	24	117
17	24	113
18	25	108
19	26	105
20	27	101
21	27	98
22	28	95
23	29	93
24	30	90
25	30	87
26	34	92
27	34	89
28	35	87
29	36	84
30	37	82
31	38	81
32	39	79
33	39	77
34	40	75
35	41	73
36	42	71
37	42	69
38	43	68
39	44	66
40	44	64
41	45	62
42	45	60
43	48	61
44	49	60
45	50	59
46	51	57
47	52	56
48	53	55
49	54	54
50	55	52
51	55	51
52	56	50
53	57	48
54	57	47
55	58	45
56	58	44
57	59	43
58	60	41
59	62	41
60	64	40
61	65	39
62	66	38
63	67	37
64	69	37
65	69	36
66	70	34
67	71	33
68	72	32
69	72	31
70	73	30
71	74	28
72	74	27
73	75	26
74	78	26
75	79	25
76	80	24
77	82	23
78	84	22
79	84	21
80	85	20
81	86	18
82	87	17
83	87	16
84	88	15
85	89	14
86	90	13
87	90	12
88	92	11
89	93	10
90	100	9
91	101	8
92	102	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	110	1
99	111	0
